cids	inchi_key
107770	BJDCWCLMFKKGEE-KWWHLYHASA-N
107807	IPVQLZZIHOAWMC-QXKUPLGCSA-N
10783	PCLITLDOTJTVDJ-UHFFFAOYSA-N
107841	PQXGNJKJMFUPPM-UHFFFAOYSA-N
10796238	PUDHBTGHUJUUFI-HUZRFOFRSA-N
107970	KKGQTZUTZRNORY-UHFFFAOYSA-N
108150	PKVRCIRHQMSYJX-AIFWHQITSA-N
10836	MYWUZJCMWCOHBA-VIFPVBQESA-N
10898559	ZFLASALABLFSNM-WYVZQNDMSA-L
10917	PHIQHXFUZVPYII-ZCFIWIBFSA-N
10921747	VGQLNJWOULYVFV-SPJNRGJMSA-N
109291	FATUQANACHZLRT-UHFFFAOYSA-L
11001318	TXEIIPDJKFWEEC-UHFFFAOYSA-N
11018	CQRKVVAGMJJJSR-UHFFFAOYSA-N
11024312	JCQLYHFGKNRPGE-DNMRROERSA-N
11029	ZLNQQNXFFQJAID-UHFFFAOYSA-L
11043	ZBJWWKFMHOAPNS-UHFFFAOYSA-N
11048	SEACYXSIPDVVMV-UHFFFAOYSA-L
11049	AZXGXVQWEUFULR-UHFFFAOYSA-N
110635	WOXKDUGGOYFFRN-IIBYNOLFSA-N
11077541	SYOKIDBDQMKNDQ-HHUWHTLVSA-N
11104792	JXLYSJRDGCGARV-FTZBXFTGSA-N
11115	BXMFKNRZTLNAFY-UHFFFAOYSA-N
11133125	CANPFCFJURGKAX-SCBSARHOSA-N
11154555	KPWSJANDNDDRMB-UHFFFAOYSA-N
11156438	LOVMMUBRQUFEAH-UIEAZXIASA-N
11167602	FNHKPVJBJVTLMP-UHFFFAOYSA-N
11192	DJWUNCQRNNEAKC-UHFFFAOYSA-L
11219835	OOUGLTULBSNHNF-UHFFFAOYSA-N
11226	IPOPQVVNCFQFRK-UHFFFAOYSA-N
11234049	XFALPSLJIHVRKE-GFCCVEGCSA-N
11235729	QGJUIPDUBHWZPV-KFHUQKARSA-N
11243969	QGJUIPDUBHWZPV-SGTAVMJGSA-N
11248	RAQDACVRFCEPDA-UHFFFAOYSA-L
11250029	QFNHIDANIVGXPE-FNZWTVRRSA-N
11250647	HEAUOKZIVMZVQL-VWLOTQADSA-N
11256664	YOZBGTLTNGAVFU-UHFFFAOYSA-N
11259	XXYTXQGCRQLRHA-UHFFFAOYSA-N
11273	OSVMTWJCGUFAOD-KZQROQTASA-N
11286230	VQOXZBDYSJBXMA-NQTDYLQESA-N
11289	BFPSDSIWYFKGBC-UHFFFAOYSA-N
11291	ISFHAYSTHMVOJR-UHFFFAOYSA-N
11296583	KMSKQZKKOZQFFG-YXRRJAAWSA-N
11304743	WXXSNCNJFUAIDG-UHFFFAOYSA-N
1130	JZRWCGZRTZMZEH-UHFFFAOYSA-N
11319217	SWMDAPWAQQTBOG-UHFFFAOYSA-N
11333	JCQLYHFGKNRPGE-FCVZTGTOSA-N
11350701	JWAZHODZSADEHB-UHFFFAOYSA-M
11354606	UFNVPOGXISZXJD-JBQZKEIOSA-N
11358077	BJDCWCLMFKKGEE-KDTBHNEXSA-N
11367	GZZZSOOGQLOEOB-UHFFFAOYSA-N
113918	POZJNEBUHLZROM-UHFFFAOYSA-N
11397521	MNHNIVNAFBSLLX-UHFFFAOYSA-N
11418570	CTUVIUYTHWPELF-IYEMJOQQSA-L
11430828	JNJYQGLIZTUSCW-IEOVAKBOSA-N
11431716	JLJSYHOPCNWUNE-IEOVAKBOSA-N
11439	KZNICNPSHKQLFF-UHFFFAOYSA-N
11450633	ZSBOMTDTBDDKMP-OAHLLOKOSA-N
114905	WMDSZGFJQKSLLH-RBBKRZOGSA-N
11499245	LFQDNHWZDQTITF-UHFFFAOYSA-N
11499	HWKQNAWCHQMZHK-UHFFFAOYSA-N
11501341	NCWZOASIUQVOFA-FWZJPQCDSA-N
11503972	UKTAZPQNNNJVKR-QPPOZKHWSA-N
11504295	COUYJEVMBVSIHV-SFHVURJKSA-N
115056	JSNQSLSBBZFGBM-UHFFFAOYSA-N
11508377	RRJQTGHQFYTZOW-ILWKUFEGSA-N
11511120	LVXJQMNHJWSHET-AATRIKPKSA-N
115163	NPGNOVNWUSPMDP-HLLBOEOZSA-N
11518241	MFBCDACCJCDGBA-UHFFFAOYSA-N
11519069	PEJHHXHHNGORMP-UHFFFAOYSA-M
11519741	XLAKJQPTOJHYDR-QTQXQZBYSA-M
115198	RYKKQQUKJJGFMN-HVDRVSQOSA-N
11520894	BUROJSBIWGDYCN-GAUTUEMISA-N
115237	PMXMIIMHBWHSKN-UHFFFAOYSA-N
115355	OUBCNLGXQFSTLU-UHFFFAOYSA-N
115358	LBHLFPGPEGDCJG-UHFFFAOYSA-N
11545	HOPSCVCBEOCPJZ-UHFFFAOYSA-N
11553369	LHLMOSXCXGLMMN-AUFQYUNVSA-M
11556711	BLMPQMFVWMYDKT-NZTKNTHTSA-N
11561674	IMOZEMNVLZVGJZ-QGZVFWFLSA-N
11578	APKDPOQXVKRLEP-UHFFFAOYSA-L
11586912	RECCGACJWKEPOU-UHFFFAOYSA-L
11597698	VOBHXZCDAVEXEY-JSGCOSHPSA-N
11625818	IFSDAJWBUCMOAH-HNNXBMFYSA-N
11626560	KTEIFNKAUNYNJU-GFCCVEGCSA-N
11655595	RTXOFQZKPXMALH-CYUBBOFGSA-N
11658860	XTTZERNUQAFMOF-QMMMGPOBSA-N
11671467	GKDRMWXFWHEQQT-UHFFFAOYSA-N
11672431	ZYGCKBKUMLQZNC-UHFFFAOYSA-N
11672602	JMUHBNWAORSSBD-WKYWBUFDSA-N
11693521	LJVAJPDWBABPEJ-XZVSULPPSA-N
11693	VPNYRYCIDCJBOM-UHFFFAOYSA-M
11707110	LIRYPHYGHXZJBZ-UHFFFAOYSA-N
11751549	OXCMYAYHXIHQOA-UHFFFAOYSA-N
11753673	FYDWDCIFZSGNBU-UHFFFAOYSA-N
117587627	USBWXQYIYZPMMN-CLJOKXJZSA-N
117590581	DOAKLVKFURWEDJ-QBZQMSFSSA-N
117590595	NMDYYWFGPIMTKO-KCFALNMWSA-N
117590639	ZVGNESXIJDCBKN-DBGJUELJSA-N
11765960	HWKJSYYYURVNQU-DXJNJSHLSA-N
1176	XSQUKJJJFZCRTK-UHFFFAOYSA-N
11777299	RNRHMQWZFJXKLZ-UHFFFAOYSA-N
11794741	YVHXHNGGPURVOS-SBTDHBFYSA-N
118023034	DWYRIWUZIJHQKQ-SANMLTNESA-N
118218024	NMDYYWFGPIMTKO-GKTGNXALSA-N
11832956	BJDCWCLMFKKGEE-SUZORCHOSA-N
118422671	KOHIRBRYDXPAMZ-ARNIEWOOSA-N
118513932	ASKZRYGFUPSJPN-UHFFFAOYSA-N
118701617	AGJUUQSLGVCRQA-MDFJBOGSSA-N
118701621	MFWNKCLOYSRHCJ-ROKHWSDSSA-N
118701706	VHFGEBVPHAGQPI-PJHCUJRKSA-N
118701720	FDJOLVPMNUYSCM-UVKKECPRSA-L
118701745	LJVAJPDWBABPEJ-AHMGRMSPSA-N
118705487	XHVAWZZCDCWGBK-POOZXYSCSA-M
118856773	FIBJDTSHOUXTKV-BRHMIFOHSA-N
118984355	FRHBOQMZUOWXQL-UHFFFAOYSA-N
118984375	PBGKTOXHQIOBKM-FHFVDXKLSA-N
118984404	LRQIWRXCHWNNEA-MWZFJMJKSA-L
118984411	AMHPTVWBZSYFSS-OAGGEKHMSA-N
118984445	WEDIKSVWBUKTRA-WTKGVUNUSA-N
118984454	COCFEDIXXNGUNL-RFKWWTKHSA-N
118984457	IBXPAFBDJCXCDW-MHFPCNPESA-A
118984459	VBGWSQKGUZHFPS-FHVLXVBRSA-N
118984462	FYZPCMFQCNBYCY-WIWKJPBBSA-N
118984465	JTZZSQYMACOLNN-CDZHZSKVSA-N
118984471	QILUCPOIAVKEBG-GCBPXYGZSA-N
118987133	ZQUAVILLCXTKTF-UHFFFAOYSA-L
119058042	RUPXJRIDSUCQAN-PQNNUJSWSA-N
119182	WDDPHFBMKLOVOX-AYQXTPAHSA-N
11949646	OBWASQILIWPZMG-QZMOQZSNSA-N
11949652	WGRQANOPCQRCME-PMACEKPBSA-N
11953153	ZWPRRQZNBDYKLH-VIFPVBQESA-N
11954041	MTMZZIPTQITGCY-OLGWUGKESA-N
11954369	OGPWIDANBSLJPC-RFPWEZLHSA-N
11954386	FVAUCKIRQBBSSJ-VVUPZWBASA-M
119570	FASDKYOPVNHBLU-ZETCQYMHSA-N
11957587	AZSNMRSAGSSBNP-ZGXOMDHGSA-N
119584	YPELFRMCRYSPKZ-UHFFFAOYSA-N
11960529	JNAHVYVRKWKWKQ-CYBMUJFWSA-N
119607	LNPDTQAFDNKSHK-UHFFFAOYSA-N
11962412	GFHAXPJGXSQLPT-VIFPVBQESA-N
11965427	JFOZKMSJYSPYLN-QHCPKHFHSA-N
11967809	MOFVSTNWEDAEEK-UHFFFAOYSA-M
11968014	STECJAGHUSJQJN-SFSMXDMGSA-N
11969536	WDURTRGFUGAJHA-PVWAJAEQSA-M
11970261	FDJOLVPMNUYSCM-RKLHWWGLSA-L
11974	GMJFVGRUYJHMCO-UHFFFAOYSA-N
11978813	ZKIAIYBUSXZPLP-UHFFFAOYSA-N
11979535	MVTQIFVKRXBCHS-FHWPYUEJSA-N
11979606	OFFWOVJBSQMVPI-RMLGOCCBSA-N
11979956	RZWQQZWPVPHLSY-NCZWHYCESA-N
119828	TZRHLKRLEZJVIJ-UHFFFAOYSA-N
11988953	WHSOLWOTCHFFBK-ZQGJOIPISA-N
11993740	AVPQPGFLVZTJOR-RYUDHWBXSA-N
1201549	GIJXKZJWITVLHI-YOFSQIOKSA-N
12015870	NGGMYCMLYOUNGM-FKSJYSFPSA-N
120183	MECVOSKQBMPUFG-UHFFFAOYSA-N
12035	PWKSKIMOESPYIA-BYPYZUCNSA-N
120508	PXZDWASDNFWKSD-UHFFFAOYSA-N
121235530	WGWPRVFKDLAUQJ-TWFXBKMCSA-N
121396	LCQLHJZYVOQKHU-VKHMYHEASA-N
121488177	XNGDIOBPVDBNQH-QMMMGPOBSA-N
121515	LJOQGZACKSYWCH-WZBLMQSHSA-N
121891	WPGGHFDDFPHPOB-BBWFWOEESA-N
121892	PCOBBVZJEWWZFR-UHFFFAOYSA-N
122051	AEVGUKVBCBHBNF-MJMUOCKJSA-N
122172881	OGWKCGZFUXNPDA-SBKPJQDDSA-N
122172882	XUFXOAAUWZOOIT-AKTIDKTPSA-N
122172888	AZSNMRSAGSSBNP-RDKIRRGNSA-N
122172922	JTZZSQYMACOLNN-MEMJXIAGSA-N
122172961	NRUKOCRGYNPUPR-VEUOYOFCSA-N
122172975	JHVAMHSQVVQIOT-PLWCXIMNSA-N
122172998	RXZBMPWDPOLZGW-AGSCYWRJSA-N
122173004	KMSKQZKKOZQFFG-FQSDZSELSA-N
122173795	DOMHWKQEPDYUQX-QDMRMOHQSA-N
122173799	PUDHBTGHUJUUFI-PURAGXGVSA-N
122173809	IXORWGHGSOABEO-AQZOCZKHSA-N
122174042	XJSFLOJWULLJQS-XWDXNDFASA-N
122197528	SIIICDNNMDMWCI-SRVHVDJVSA-N
122197546	TYUACEBEGBGGMO-JZRMKITLSA-N
122197551	MYCYALXPHWPBMJ-UHFFFAOYSA-L
122282	XIUUSFJTJXFNGH-UHFFFAOYSA-N
122335	BNFRJXLZYUTIII-UHFFFAOYSA-N
122553	QSRHLIUOSXVKTG-UHFFFAOYSA-N
12310749	ILYCWAKSDCYMBB-AQSBEPBVSA-N
123133951	RTXOFQZKPXMALH-HWQDRANHSA-N
123133975	DMUAPQTXSSNEDD-JCOBOXIMSA-N
