,sig_id
154,CPC003_HCC515_6H:BRD-A43882281-001-11-4:10
155,CPC015_A375_6H:BRD-A43882281-001-11-4:10
156,CPC003_VCAP_6H:BRD-A43882281-001-11-4:10
157,CPC015_ASC_24H:BRD-A43882281-001-11-4:10
158,CPC003_PC3_6H:BRD-A43882281-001-11-4:10
159,CPC015_PHH_24H:BRD-A43882281-001-11-4:10
160,CPC003_HCC515_24H:BRD-A43882281-001-11-4:10
161,CPC015_A549_6H:BRD-A43882281-001-11-4:10
162,CPC015_HT29_6H:BRD-A43882281-001-11-4:10
163,CPC003_PC3_24H:BRD-A43882281-001-11-4:10
164,CPC015_MCF7_24H:BRD-A43882281-001-11-4:10
165,CPC015_HEPG2_6H:BRD-A43882281-001-11-4:10
166,CPC015_A549_24H:BRD-A43882281-001-11-4:10
167,CPC003_HA1E_24H:BRD-A43882281-001-11-4:10
168,CPC003_VCAP_24H:BRD-A43882281-001-11-4:10
169,CPC003_HA1E_6H:BRD-A43882281-001-11-4:10
170,CPC015_SKB_24H:BRD-A43882281-001-11-4:10
171,CPC015_MCF7_6H:M05
172,REP.A013_HELA_24H:P05
173,REP.A013_YAPC_24H:P03
174,REP.B013_MDAMB231_24H:P04
175,REP.A013_A375_24H:P05
176,REP.B013_YAPC_24H:P03
177,REP.A013_MDAMB231_24H:P04
178,REP.A013_HA1E_24H:P04
179,REP.A013_HT29_24H:P05
180,REP.A013_MCF10A_24H:P06
181,REP.A013_MDAMB231_24H:P03
182,REP.B013_MCF7_24H:P04
183,REP.A013_HEK293_24H:P03
184,REP.A013_YAPC_24H:P02
185,REP.A013_HUVEC.A_24H:P06
186,REP.A013_A375_24H:P04
187,REP.A013_A375_24H:P06
188,REP.B013_YAPC_24H:P02
189,REP.B013_HELA_24H:P02
190,REP.B013_PC3_24H:P06
191,REP.A013_A375_24H:P01
192,REP.A013_MCF7_24H:P01
193,REP.B013_HELA_24H:P06
194,REP.B013_THP1_24H:P05
195,REP.A013_HT29_24H:P02
196,REP.B013_HA1E_24H:P06
197,REP.B013_JURKAT_24H:P02
198,REP.A013_HT29_24H:P04
199,REP.A013_A549_24H:P03
200,REP.B013_MCF10A_24H:P02
201,REP.A013_A549_24H:P04
202,REP.B013_A375_24H:P05
203,REP.A013_JURKAT_24H:P03
204,REP.A013_HA1E_24H:P06
205,REP.A013_A375_24H:P03
206,REP.B013_MCF10A_24H:P03
207,REP.B013_MDAMB231_24H:P05
208,REP.B013_A549_24H:P04
209,REP.A013_PC3_24H:P02
210,REP.A013_HT29_24H:P03
211,REP.A013_JURKAT_24H:P01
212,REP.B013_HUVEC.A_24H:P04
213,REP.B013_THP1_24H:P02
214,REP.A013_MDAMB231_24H:P01
215,REP.B013_MCF7_24H:P01
216,REP.A013_HA1E_24H:P05
217,REP.A013_MDAMB231_24H:P02
218,REP.A013_A549_24H:P01
219,REP.A013_A549_24H:P05
220,REP.B013_JURKAT_24H:P05
221,REP.B013_HA1E_24H:P04
222,REP.B013_HA1E_24H:P02
223,REP.B013_THP1_24H:P06
224,REP.B013_MCF7_24H:P02
225,REP.B013_MCF10A_24H:P04
226,REP.B013_HUVEC.A_24H:P06
227,REP.B013_A375_24H:P02
228,REP.A013_MCF10A_24H:P01
229,REP.A013_A375_24H:P02
230,REP.B013_YAPC_24H:P06
231,REP.B013_MCF10A_24H:P01
232,REP.B013_HUVEC.A_24H:P01
233,REP.A013_MCF10A_24H:P02
234,REP.A013_PC3_24H:P03
235,REP.B013_PC3_24H:P03
236,REP.B013_MDAMB231_24H:P06
237,REP.A013_MDAMB231_24H:P05
238,REP.A013_MCF7_24H:P02
239,REP.A013_MCF10A_24H:P05
240,REP.B013_MDAMB231_24H:P01
241,REP.B013_A549_24H:P02
242,REP.B013_MCF7_24H:P06
243,REP.A013_YAPC_24H:P05
244,REP.A013_JURKAT_24H:P05
245,REP.A013_JURKAT_24H:P06
246,REP.A013_JURKAT_24H:P02
247,REP.B013_HT29_24H:P06
248,REP.A013_PC3_24H:P01
249,REP.B013_HEK293_24H:P01
250,REP.A013_HA1E_24H:P02
251,REP.B013_MCF7_24H:P05
252,REP.B013_HEK293_24H:P06
253,REP.A013_PC3_24H:P06
254,REP.B013_MCF10A_24H:P05
255,REP.A013_HELA_24H:P03
256,REP.A013_JURKAT_24H:P04
257,REP.A013_HUVEC.A_24H:P04
258,REP.B013_YAPC_24H:P01
259,REP.B013_MCF7_24H:P03
260,REP.B013_PC3_24H:P05
261,REP.B013_JURKAT_24H:P03
262,REP.A013_HELA_24H:P01
263,REP.B013_HA1E_24H:P05
264,REP.B013_A549_24H:P01
265,REP.B013_HEK293_24H:P03
266,REP.A013_YAPC_24H:P04
267,REP.B013_HA1E_24H:P01
268,REP.A013_MCF10A_24H:P03
269,REP.A013_THP1_24H:P04
270,REP.A013_HUVEC.A_24H:P02
271,REP.B013_HEK293_24H:P04
272,REP.B013_YAPC_24H:P04
273,REP.A013_A549_24H:P06
274,REP.B013_HA1E_24H:P03
275,REP.A013_PC3_24H:P04
276,REP.A013_A549_24H:P02
277,REP.B013_THP1_24H:P01
278,REP.B013_HUVEC.A_24H:P05
279,REP.A013_MCF7_24H:P04
280,REP.B013_HEK293_24H:P02
281,REP.B013_MDAMB231_24H:P03
282,REP.A013_YAPC_24H:P06
283,REP.A013_MCF7_24H:P03
284,REP.B013_PC3_24H:P01
285,REP.A013_MCF10A_24H:P04
286,REP.B013_A549_24H:P03
287,REP.A013_HT29_24H:P01
288,REP.A013_THP1_24H:P03
289,REP.A013_HEK293_24H:P04
290,REP.B013_HUVEC.A_24H:P02
291,REP.B013_A375_24H:P04
292,REP.A013_MCF7_24H:P05
293,REP.B013_JURKAT_24H:P06
294,REP.A013_HT29_24H:P06
295,REP.A013_HEK293_24H:P01
296,REP.A013_HEK293_24H:P05
297,REP.A013_HELA_24H:P02
298,REP.A013_THP1_24H:P06
299,REP.B013_JURKAT_24H:P04
300,REP.A013_HELA_24H:P06
301,REP.B013_HT29_24H:P05
302,REP.A013_HEK293_24H:P02
303,REP.B013_PC3_24H:P04
304,REP.A013_HA1E_24H:P03
305,REP.B013_A549_24H:P06
306,REP.B013_MCF10A_24H:P06
307,REP.B013_PC3_24H:P02
308,REP.A013_HA1E_24H:P01
309,REP.B013_A375_24H:P06
310,REP.A013_HELA_24H:P04
311,REP.A013_HEK293_24H:P06
312,REP.B013_THP1_24H:P04
313,REP.B013_JURKAT_24H:P01
314,REP.B013_MDAMB231_24H:P02
315,REP.B013_HT29_24H:P04
316,REP.B013_HELA_24H:P05
317,REP.B013_A375_24H:P03
318,REP.B013_HEK293_24H:P05
319,REP.B013_HELA_24H:P03
320,REP.A013_HUVEC.A_24H:P01
321,REP.A013_MCF7_24H:P06
322,REP.A013_PC3_24H:P05
323,REP.A013_THP1_24H:P05
324,REP.B013_THP1_24H:P03
325,REP.B013_HT29_24H:P01
326,REP.A013_THP1_24H:P01
327,REP.B013_HT29_24H:P03
328,REP.B013_A549_24H:P05
329,REP.B013_HT29_24H:P02
330,REP.A013_THP1_24H:P02
331,REP.A013_YAPC_24H:P01
332,REP.A013_HUVEC.A_24H:P03
333,REP.B013_HELA_24H:P04
334,REP.B013_HUVEC.A_24H:P03
335,REP.A013_MDAMB231_24H:P06
336,REP.B013_HELA_24H:P01
337,REP.B013_YAPC_24H:P05
338,LIVB001_HUH7_72H:G15
339,NMH002_NEU_24H:BRD-K01638814-050-01-2:10
340,NMH002_NEU_6H:BRD-K01638814-050-01-2:10
341,NMH002_NPC_24H:BRD-K01638814-050-01-2:10
342,NMH002_FIBRNPC_6H:BRD-K01638814-050-01-2:10
343,LRS001_PHH.MGH_24H:N12
344,LRS001_PHH.MGH_24H:N10
345,LRS001_PHH.MGH_24H:N11
346,NMH002_FIBRNPC_24H:BRD-K01638814-050-01-2:10
347,NMH002_NPC_6H:BRD-K01638814-050-01-2:10
348,CPC006_HCC15_6H:H10
349,CPC006_HCT116_6H:BRD-K01638814-051-10-1:10
350,CPC006_A375_24H:BRD-K01638814-051-10-1:10
351,CPC006_U937_6H:BRD-K01638814-051-10-1:10
352,CPC006_HEPG2_6H:BRD-K01638814-051-10-1:10
353,CPC006_HT29_24H:BRD-K01638814-051-10-1:10
354,CPC006_HT115_6H:BRD-K01638814-051-10-1:10
355,CPC006_RKO_6H:BRD-K01638814-051-10-1:10
356,CPC006_A549_6H:BRD-K01638814-051-10-1:10
357,CPC006_HEC108_6H:H10
358,CPC006_NCIH2073_6H:BRD-K01638814-051-10-1:10
359,CPC006_AGS_6H:BRD-K01638814-051-10-1:10
360,CPC006_JHUEM2_6H:BRD-K01638814-051-10-1:10
361,CPC006_NCIH1694_6H:BRD-K01638814-051-10-1:10
362,CPC006_PC3_6H:BRD-K01638814-051-10-1:10
363,CPC006_HA1E_24H:H10
364,CPC006_CORL23_6H:BRD-K01638814-051-10-1:10
365,CPC006_RMUGS_6H:H10
366,CPC006_A375_6H:H10
367,CPC006_SKLU1_6H:BRD-K01638814-051-10-1:10
368,CPC006_VCAP_6H:BRD-K01638814-051-10-1:10
369,CPC006_SW480_6H:BRD-K01638814-051-10-1:10
370,CPC006_HA1E_6H:BRD-K01638814-051-10-1:10
371,CPC006_MCF7_24H:H10
372,CPC006_DV90_6H:BRD-K01638814-051-10-1:10
373,CPC006_WSUDLCL2_6H:BRD-K01638814-051-10-1:10
374,CPC006_SKM1_6H:BRD-K01638814-051-10-1:10
375,CPC006_H1299_6H:BRD-K01638814-051-10-1:10
376,CPC006_PL21_6H:BRD-K01638814-051-10-1:10
377,CPC006_HCC515_6H:H10
378,CPC006_EFO27_6H:BRD-K01638814-051-10-1:10
379,CPC006_HCC515_24H:H10
380,CPC006_NOMO1_6H:BRD-K01638814-051-10-1:10
381,CPC006_LOVO_6H:BRD-K01638814-051-10-1:10
382,CPC006_OV7_6H:BRD-K01638814-051-10-1:10
383,CPC006_NCIH508_6H:BRD-K01638814-051-10-1:10
384,CPC006_SKMEL28_6H:BRD-K01638814-051-10-1:10
385,CPC006_A549_24H:BRD-K01638814-051-10-1:10
386,CPC006_A673_6H:BRD-K01638814-051-10-1:10
387,CPC006_SNGM_6H:BRD-K01638814-051-10-1:10
