,sig_id
109,NMH002_FIBRNPC_6H:BRD-K81418486-001-22-8:10
110,RAD001_HCC515_6H:BRD-K81418486-001-18-6:0.0015
111,ABY001_NCIH1975_XH:BRD-K81418486:10:24
112,LPROT001_NPC.TAK_6H:BRD-K81418486:1
113,DOSBIO001_NEU_24H:BRD-K81418486:3.33333
114,TAA001_SKNSH_24H:N15
115,RAD001_MCF7_6H:BRD-K81418486-001-18-6:0.0046
116,POL001_HEPG2_24H:O02
117,DEB001_PC3_6H:BRD-K81418486-001-24-4:1
118,ABY001_A549_XH:BRD-K81418486:10:24
119,ABY001_HT29_XH:BRD-K81418486:2.5:3
120,LTC003_HME1_24H:BRD-K81418486:10
121,LTC007_MDAMB231_24H:BRD-K81418486:10
122,RAD001_MCF7_24H:BRD-K81418486:10
123,LCP001_MCF10A.WT_6H:N22
124,HOG001_MCF7_24H:BRD-K81418486-001-32-7:0.013
125,HDAC002_MCF7_24H:BRD-K81418486-001-10-3:0.0390625
126,CVD001_PHH_24H:BRD-K81418486:10
127,ABY001_HT29_XH:BRD-K81418486:10:3
128,HOG001_A549_24H:BRD-K81418486-001-32-7:3.33
129,LCP001_MCF10A.WT_12H:N24
130,LTC007_MDAMB231_3H:BRD-K81418486:10
131,LTC008_MDAMB231_3H:BRD-K81418486:0.12346
132,PRISM001_A375_24H:BRD-K81418486:10
133,RAD001_MCF7_6H:BRD-K81418486-001-18-6:3.3333
134,HOG001_MCF7_6H:BRD-K81418486-001-32-7:0.3704
135,HOG001_A549_6H:BRD-K81418486-001-32-7:0.0412
136,HDAC002_PC3_6H:BRD-K81418486-001-10-3:0.15625
137,HDAC002_PC3_6H:BRD-K81418486-001-10-3:0.00976562
138,LCP001_MCF10A.KRAS.HG_24H:N23
139,LTC002_HME1_3H:BRD-K81418486:0.12346
140,DTAK002_VCAP_24H:BRD-K81418486:10
141,HDAC002_PC3_24H:BRD-K81418486-001-10-3:0.00488281
142,RAD001_PC3_24H:BRD-K81418486-001-18-6:0.3704
143,PRISM001_MCF7_24H:BRD-K81418486:10
144,PCL001_A375_24H:BRD-K81418486:10
145,HOG002_A549_6H:BRD-K81418486-001-32-7:10
146,CEGS002_HIMG001_24H:C22
147,LCP001_MCF10A.WT_3H:N22
148,HOG003_A549_24H:BRD-K81418486-001-32-7:0.1235
149,TAA001_SHSY5Y_24H:N15
150,NMH001_NEU_6H:F24
151,ABY001_A375_XH:BRD-K81418486:10:3
152,ABY001_HEPG2_XH:BRD-K81418486:0.625:3
153,ABY001_NCIH596_XH:BRD-K81418486:10:3
154,HDAC002_PC3_24H:BRD-K81418486-001-10-3:0.3125
